Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
44,8,8,164,6,Some Random Commen with Id 44
45,9,1,34,6,Some Random Commen with Id 45
46,9,1,88,2,Some Random Commen with Id 46
47,9,1,28,0,Some Random Commen with Id 47
48,10,5,92,5,Some Random Commen with Id 48
49,10,5,58,5,Some Random Commen with Id 49
50,11,0,107,1,Some Random Commen with Id 50
51,11,0,65,1,Some Random Commen with Id 51
52,11,0,191,7,Some Random Commen with Id 52
53,11,0,22,3,Some Random Commen with Id 53
54,11,0,179,9,Some Random Commen with Id 54
55,11,0,63,7,Some Random Commen with Id 55
56,11,0,176,1,Some Random Commen with Id 56
57,11,0,163,3,Some Random Commen with Id 57
58,11,0,145,7,Some Random Commen with Id 58
59,12,8,120,5,Some Random Commen with Id 59
60,12,8,159,3,Some Random Commen with Id 60
61,12,8,46,7,Some Random Commen with Id 61
62,12,8,50,3,Some Random Commen with Id 62
63,12,8,166,5,Some Random Commen with Id 63
64,12,8,159,9,Some Random Commen with Id 64
65,13,8,68,4,Some Random Commen with Id 65
66,13,8,175,5,Some Random Commen with Id 66
67,13,8,107,7,Some Random Commen with Id 67
68,13,8,135,9,Some Random Commen with Id 68
69,13,8,149,2,Some Random Commen with Id 69
70,14,3,38,2,Some Random Commen with Id 70
71,15,1,53,3,Some Random Commen with Id 71
72,15,1,164,9,Some Random Commen with Id 72
73,16,5,18,1,Some Random Commen with Id 73
74,16,5,21,7,Some Random Commen with Id 74
75,16,5,169,1,Some Random Commen with Id 75
76,16,5,191,5,Some Random Commen with Id 76
77,16,5,139,1,Some Random Commen with Id 77
78,17,7,171,5,Some Random Commen with Id 78
79,17,7,99,3,Some Random Commen with Id 79
80,17,7,112,6,Some Random Commen with Id 80
81,17,7,177,0,Some Random Commen with Id 81
82,17,7,92,7,Some Random Commen with Id 82
83,17,7,129,9,Some Random Commen with Id 83
84,18,3,56,1,Some Random Commen with Id 84
85,18,3,191,8,Some Random Commen with Id 85
86,18,3,60,6,Some Random Commen with Id 86
87,18,3,115,7,Some Random Commen with Id 87
88,18,3,175,7,Some Random Commen with Id 88
89,18,3,65,8,Some Random Commen with Id 89
90,18,3,130,8,Some Random Commen with Id 90
91,18,3,125,0,Some Random Commen with Id 91
92,18,3,135,0,Some Random Commen with Id 92
93,20,9,7,3,Some Random Commen with Id 93
94,20,9,78,0,Some Random Commen with Id 94
95,20,9,105,1,Some Random Commen with Id 95
96,20,9,152,4,Some Random Commen with Id 96
97,21,3,138,7,Some Random Commen with Id 97
98,21,3,196,3,Some Random Commen with Id 98
99,21,3,38,5,Some Random Commen with Id 99
100,21,3,62,3,Some Random Commen with Id 100
101,23,8,99,7,Some Random Commen with Id 101
102,23,8,118,2,Some Random Commen with Id 102
103,23,8,160,7,Some Random Commen with Id 103
104,24,7,141,0,Some Random Commen with Id 104
105,24,7,66,8,Some Random Commen with Id 105
106,24,7,25,8,Some Random Commen with Id 106
107,25,4,80,1,Some Random Commen with Id 107
108,25,4,2,1,Some Random Commen with Id 108
109,25,4,159,3,Some Random Commen with Id 109
110,25,4,9,7,Some Random Commen with Id 110
111,25,4,142,9,Some Random Commen with Id 111
112,25,4,182,6,Some Random Commen with Id 112
113,26,0,123,4,Some Random Commen with Id 113
114,26,0,70,8,Some Random Commen with Id 114
115,27,0,189,5,Some Random Commen with Id 115
116,27,0,199,5,Some Random Commen with Id 116
117,27,0,135,0,Some Random Commen with Id 117
118,28,1,22,0,Some Random Commen with Id 118
119,28,1,85,8,Some Random Commen with Id 119
120,29,3,106,0,Some Random Commen with Id 120
121,29,3,18,8,Some Random Commen with Id 121
122,30,8,7,0,Some Random Commen with Id 122
123,30,8,160,0,Some Random Commen with Id 123
124,30,8,19,0,Some Random Commen with Id 124
125,30,8,199,9,Some Random Commen with Id 125
126,31,3,57,5,Some Random Commen with Id 126
127,31,3,131,8,Some Random Commen with Id 127
128,31,3,71,0,Some Random Commen with Id 128
129,31,3,188,0,Some Random Commen with Id 129
130,31,3,162,4,Some Random Commen with Id 130
131,32,2,19,1,Some Random Commen with Id 131
132,32,2,71,1,Some Random Commen with Id 132
133,32,2,194,0,Some Random Commen with Id 133
134,32,2,168,3,Some Random Commen with Id 134
135,32,2,46,0,Some Random Commen with Id 135
136,32,2,197,7,Some Random Commen with Id 136
137,32,2,151,4,Some Random Commen with Id 137
138,32,2,132,5,Some Random Commen with Id 138
139,32,2,38,4,Some Random Commen with Id 139
140,33,6,181,6,Some Random Commen with Id 140
141,33,6,174,9,Some Random Commen with Id 141
142,34,4,56,4,Some Random Commen with Id 142
143,34,4,144,2,Some Random Commen with Id 143
144,34,4,20,4,Some Random Commen with Id 144
145,34,4,160,8,Some Random Commen with Id 145
146,34,4,95,8,Some Random Commen with Id 146
147,34,4,78,2,Some Random Commen with Id 147
148,34,4,189,1,Some Random Commen with Id 148
149,34,4,32,2,Some Random Commen with Id 149
150,34,4,164,3,Some Random Commen with Id 150
151,36,4,149,2,Some Random Commen with Id 151
152,36,4,68,5,Some Random Commen with Id 152
153,36,4,135,6,Some Random Commen with Id 153
154,36,4,138,6,Some Random Commen with Id 154
155,37,4,183,0,Some Random Commen with Id 155
156,37,4,32,1,Some Random Commen with Id 156
157,37,4,198,0,Some Random Commen with Id 157
158,37,4,54,4,Some Random Commen with Id 158
159,37,4,55,7,Some Random Commen with Id 159
160,37,4,66,3,Some Random Commen with Id 160
161,37,4,188,5,Some Random Commen with Id 161
162,37,4,176,5,Some Random Commen with Id 162
163,37,4,144,8,Some Random Commen with Id 163
164,38,1,172,4,Some Random Commen with Id 164
165,39,6,31,9,Some Random Commen with Id 165
166,39,6,139,4,Some Random Commen with Id 166
167,39,6,146,2,Some Random Commen with Id 167
168,39,6,117,5,Some Random Commen with Id 168
169,39,6,53,2,Some Random Commen with Id 169
170,39,6,48,5,Some Random Commen with Id 170
171,39,6,193,9,Some Random Commen with Id 171
172,39,6,51,5,Some Random Commen with Id 172
,,,111.1965318,9,
,,,199,51,
